C�digo Barra,C�digo Reduzido,Descri��o,Unidade Medida,Categoria,Setor,Pre�o de Venda Unit�rio R$,Classificacao Fiscal / NCM,CST ICMS Sa�da,CEST,CFOP Estadual,Al�quota ICMS,Al�quota de PIS,CST PIS Sa�da,Al�quota de COFINS,CST COFINS Sa�da,Enviar para Balan�a,,,,,,,,,,
,,,,,,81,2500,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,61,900,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,30,9200,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.01,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,85,8800,1704.90.90 - DOCES E CONFEITARIA,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,,
,,,,,,101,800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,44,9500,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,33,900,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,35,600,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,33,900,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,5,8900,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,70,2700,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.01,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,24,3500,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
-,91,FARINHA DE TRIGO GRANEL,KG,MERCEARIA SECA,02 REVENDA,6,9000,1101.00.10 - FARINHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,,
,,,,,,9,2200,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,9,2200,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,85,8800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,68,3300,1901.20.90 - MISTURAS E PASTAS, P/PREPAR. PRODS .PADARIA, PASTELARIA,ETC,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,
,,,,,,64,9600,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,3,8700,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
